This list contains all games supported by FB Alpha.

8595 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| airbustrj	|  	| Air Buster: Trouble Specialty Raid Unit (Japan)	| airbustr	| 1990	| Kaneko (Namco | Miscellaneous	| 					|
| md_airbustr	|  	| Air Buster: Trouble Specialty Raid Unit (USA)		| 		| 1991	| Kaneko	| Sega Megadrive| 					|
| airbustr	|  	| Air Buster: Trouble Specialty Raid Unit (World)	| 		| 1990	| Kaneko (Namco | Miscellaneous	| 					|
| md_airdiverj	|  	| Air Diver (Jpn)					| md_airdiver	| 1990	| Asmik Ace	| Sega Megadrive| 					|
| md_airdiver	|  	| Air Diver (USA)					| 		| 1990	| Seismic	| Sega Megadrive| 					|
| airduelm72	|  	| Air Duel (Japan, M72)					| airduel	| 1990	| Irem		| M72		| 					|
| airduel	|   NW	| Air Duel (World, M82-A-A + M82-B-A)			| 		| 1990	| Irem		| M82		| 					|
| agallet	|  	| Air Gallet (Europe)					| 		| 1996	| BanPresto / Ga| Cave		| 					|
| agalleth	|  	| Air Gallet (Hong Kong)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletj	|  	| Air Gallet (Japan)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletk	|  	| Air Gallet (Korea)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agallett	|  	| Air Gallet (Taiwan)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletu	|  	| Air Gallet (USA)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| md_airmanag	|  	| Air Management - Oozora ni Kakeru (Jpn)		| md_aerobiz	| 1992	| Koei		| Sega Megadrive| 					|
| md_airmang2	|  	| Air Management II - Koukuuou o Mezase (Jpn)		| md_aerobizs	| 1994	| Koei		| Sega Megadrive| 					|
| sms_airresc	|  	| Air Rescue (Euro, Bra, Kor)				| 		| 1992	| Sega		| Sega Master Sy| 					|
| airwolf	|  	| Airwolf						| 		| 1987	| Kyugo		| Kyugo		| 					|
| airwolfa	|  	| Airwolf (US)						| airwolf	| 1987	| Kyugo (United | Kyugo		| 					|
| ajax		|  	| Ajax							| 		| 1987	| Konami	| GX770		| 					|
| ajaxj		|  	| Ajax (Japan)						| ajax		| 1987	| Konami	| GX770		| 					|
| akumajoun	|  	| Akuma-Jou Dracula (Japan ver. N)			| hcastle	| 1988	| Konami	| GX768		| 					|
| akumajou	|  	| Akuma-Jou Dracula (Japan ver. P)			| hcastle	| 1988	| Konami	| GX768		| 					|
| md_akumajo	|  	| Akumajou Dracula - Vampire Killer (Jpn)		| md_cvania	| 1994	| Konami	| Sega Megadrive| 					|
| md_aladdin2	|  	| Aladdin II						| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| cv_alcazar	|  	| Alcazar: The Forgotten Fortress			| 		| 1985	| Telegames	| ColecoVision	| 					|
| alcon		|  	| Alcon (US)						| 		| 1986	| Toaplan / Tait| Early Toaplan	| 					|
| sgx_aldynes	|  	| Aldynes						| 		| 1991	| Hudson	| SuperGrafx	| 					|
| sms_aleste	|  	| Aleste (Jpn)						| sms_pstrike	| 1988	| Sega		| Sega Master Sy| 					|
| sms_alesteiigg2sms|  	| Aleste II GG (SMS Conversion)				| 		| 1993	| Sega		| Sega Master Sy| 					|
| md_alexkiddk	|  	| Alex Kidd - Cheongong Maseong (Kor)			| md_alexkidd	| 1990	| Samsung	| Sega Megadrive| 					|
| sms_alexhitw	|  	| Alex Kidd - High-Tech World (Euro, USA)		| 		| 1989	| Sega		| Sega Master Sy| 					|
| sms_alexlost	|  	| Alex Kidd - The Lost Stars (World)			| 		| 1988	| Sega		| Sega Master Sy| 					|
| sms_alexbmx	|  	| Alex Kidd BMX Trial (Jpn)				| 		| 1987	| Sega		| Sega Master Sy| 					|
| sms_alexkiddb	|  	| Alex Kidd in Miracle World (Bra, v1, Pirate)		| sms_alexkidd	| 1986	| pirate	| Sega Master Sy| 					|
| sms_alexkidd1	|  	| Alex Kidd in Miracle World (Euro, USA, v0)		| sms_alexkidd	| 1986	| Sega		| Sega Master Sy| 					|
| sms_alexkidd	|  	| Alex Kidd in Miracle World (Euro, USA, v1)		| 		| 1986	| Sega		| Sega Master Sy| 					|
| gg_alexkidd	|  	| Alex Kidd in Miracle World (Tw, SMS Mode)		| 		| 198?	| Unknown	| Sega Game Gear| 					|
| sms_akrr102e	|  	| Alex Kidd in Radaxian Rumble (ver. 1.02e)		| sms_alexkidd	| 2015	| Sega		| Sega Master Sy| 					|
| sms_alexshin	|  	| Alex Kidd in Shinobi World (Euro, USA, Bra)		| 		| 1990	| Sega		| Sega Master Sy| 					|
| md_alexkidd1	|  	| Alex Kidd in the Enchanted Castle (Euro)		| md_alexkidd	| 1990	| Sega		| Sega Megadrive| 					|
